,CaseId,Register,Create Questionnaire,Send Questionnaire,Skip Questionnaire,Receive Questionnaire Response,High Medical History,High Insurance Check,Contact Hospital,Low Medical History,Low Insurance Check,Decide Claim,Prepare Notification Content,Send Notification by Post,Notify by Post,Send Notification by e-mail,Notify by e-mail,Send Notification by Phone,Notify by Phone,Archive
2384,2384,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2538,2538,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2176,2176,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
897,897,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
214,214,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2380,2380,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2714,2714,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2576,2576,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
102,102,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
192,192,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1447,1447,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
229,229,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
776,776,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1236,1236,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2582,2582,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
17,17,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1127,1127,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
170,170,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2247,2247,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1091,1091,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
605,605,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1457,1457,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2005,2005,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2895,2895,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2852,2852,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2645,2645,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
289,289,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
486,486,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2185,2185,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1421,1421,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1811,1811,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
495,495,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1094,1094,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
