;Send Notification by Phone;Low Medical History;Send Notification by Post;Contact Hospital;High Medical History;Receive Questionnaire Response;Low Insurance Check;High Insurance Check;Skip Questionnaire;Send Notification by e-mail;Archive;Prepare Notification Content;Create Questionnaire;Decide claim;Register;Send Questionnaire;Send Notification by Phone;Low Medical History;Send Notification by Post;High Insurance Check;High Medical History;Contact Hospital;Receive Questionnaire Response;Low Insurance Check;Skip Questionnaire;Send Notification by e-mail;prediction
Lime results;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;-
2;0.143634101;-0.057305679;-0.050352002;-0.036052683;-0.035810136;0;-0.030438159;-0.036353703;0;-0.003219963;0;0;0;0;0;0;0;0;0;0;0;0;-0.03491528;0;-0.013743903;0;1
3;0.153124616;-0.059439108;-0.048791556;-0.031294248;-0.038032826;0;-0.034157819;-0.03368834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.032809787;0;-0.011862988;0.010495585;1
8;0.14129888;0;0;0;0;0;0;0;0;-0.009420649;0;0;0;0;0;0;0;0.055297813;0.047788723;0.044691729;0.039491351;0.039027135;-0.027899949;0.030668768;-0.010504165;0;1
9;0.14144127;0;0;0;0;0.035019874;0;0;0.010464294;0;0;0;0;0;0;0;0;0.057656785;0.048966514;0.040624966;0.03978564;0.031143769;0;0.032308793;0;0.009404027;1
média;0.144874717;-0.029186197;-0.02478589;-0.016836733;-0.018460741;0.008754969;-0.016148995;-0.017510511;0.002616074;-0.003160153;0;0;0;0;0;0;0;0.02823865;0.024188809;0.021329174;0.019819248;0.017542726;-0.023906254;0.01574439;-0.009027764;0.004974903;
0;-0.141334775;0.053221789;0.046363587;0.034780671;0.034330259;-0.032060296;0.031024186;0.026408441;-0.014194266;0.004599864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.155367944;-0.056550395;-0.050493678;-0.042838632;-0.035391523;-0.033210703;0.031276249;-0.030584958;0.009204778;0.002454447;0
4;0;0.058928964;0.047932923;0.040469848;0.041182494;-0.041100861;0.032273365;0.038159788;-0.015163558;-0.008554368;0;0;0;0;0;0;0.138079094;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.155952576;-0.054474735;-0.051281388;-0.032999348;-0.037451125;-0.034834939;0.034663517;-0.036809304;0.011965527;0.001192184;0
6;-0.149275463;0.061685179;0.050934123;0.031227779;0.036424374;-0.030566996;0.028752473;0.034203126;-0.017443914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.00428706;0
7;0;0.056354586;0.044738078;0.034370276;0.036491704;-0.033475844;0.032202956;0.034458904;-0.015657547;0;0;0;0;0;0;0;0.14789833;0;0;0;0;0;0;0;0;5.06E-05;0
média;-0.04843504;0.038365086;0.031661452;0.023474762;0.024738139;-0.022867333;0.02070883;0.022205043;-0.010409881;-0.000659084;0;0;0;0;0;0;0.099549657;-0.018504188;-0.016962511;-0.012639663;-0.012140441;-0.01134094;0.010989961;-0.011232377;0.003528384;-9.83048E-05;
