,caseId,label,Archive,Contact Hospital,Create Questionnaire,Decide Claim,High Insurance Check,High Medical History,Low Insurance Check,Low Medical History,Prepare Notification Content,Receive Questionnaire Response,Register,Send Notification by Phone,Send Notification by Post,Send Notification by e-mail,Send Questionnaire,Skip Questionnaire
0,0,False,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
1,1,False,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
2,2,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
3,3,True,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
4,4,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
5,5,False,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
6,6,True,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
7,7,True,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
8,8,True,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
9,9,True,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
10,10,True,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
11,11,True,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
12,12,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
13,13,True,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
14,14,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
15,15,False,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
16,16,True,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
17,17,False,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
18,18,False,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1
19,19,True,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
20,20,False,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
21,21,False,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
22,22,False,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
23,23,False,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
24,24,False,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
25,25,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
26,26,True,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
27,27,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
28,28,False,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
29,29,False,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
30,30,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
31,31,False,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
32,32,True,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
33,33,False,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
34,34,False,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
35,35,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
36,36,True,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
37,37,False,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
38,38,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
39,39,False,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
40,40,True,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
41,41,True,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
42,42,True,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
43,43,True,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
44,44,False,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
45,45,True,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
46,46,False,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1
47,47,False,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
48,48,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
49,49,True,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
50,50,True,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
51,51,False,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
52,52,True,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
53,53,True,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
54,54,True,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
55,55,True,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
56,56,True,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
57,57,True,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
58,58,False,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
59,59,True,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
60,60,False,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1
61,61,False,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
62,62,True,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
63,63,False,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
64,64,False,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
65,65,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
66,66,True,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
67,67,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
68,68,False,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
69,69,True,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
70,70,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
71,71,False,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
72,72,False,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
73,73,False,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1
74,74,True,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
75,75,True,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
76,76,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
77,77,False,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
78,78,False,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
79,79,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
80,80,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
81,81,False,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
82,82,False,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
83,83,False,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
84,84,True,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
85,85,True,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
86,86,True,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
87,87,True,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
88,88,False,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
89,89,True,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
90,90,True,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
91,91,True,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
92,92,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
93,93,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
94,94,False,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
95,95,False,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
96,96,True,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
97,97,True,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
98,98,False,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
99,99,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
100,100,True,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
101,101,False,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
102,102,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
103,103,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
104,104,False,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
105,105,False,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
106,106,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
107,107,True,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
108,108,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
109,109,False,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
110,110,True,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
111,111,True,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
112,112,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
113,113,True,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
114,114,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
115,115,True,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
116,116,False,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
117,117,False,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
118,118,True,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
119,119,False,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
120,120,True,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
121,121,False,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
122,122,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
123,123,False,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
124,124,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
125,125,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
126,126,True,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
127,127,True,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
128,128,False,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
129,129,True,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
130,130,True,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
131,131,False,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
132,132,False,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1
133,133,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
134,134,False,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
135,135,True,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
136,136,True,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
137,137,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
138,138,False,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
139,139,True,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
140,140,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
141,141,False,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
142,142,True,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
143,143,True,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
144,144,True,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
145,145,True,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
146,146,False,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
147,147,False,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
148,148,False,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1
149,149,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
150,150,False,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
151,151,False,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
152,152,False,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
153,153,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
154,154,True,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
155,155,True,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
156,156,True,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
157,157,True,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
158,158,True,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
159,159,True,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
160,160,False,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
161,161,True,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
162,162,False,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
163,163,False,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
164,164,True,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
165,165,True,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
