;Archive=1;Contact Hospital=0;Contact Hospital=1;Create Questionnaire=1;Decide claim=1;High Insurance Check=0;High Insurance Check=1;High Medical History=0;High Medical History=1;Low Insurance Check=0;Low Insurance Check=1;Low Medical History=0;Low Medical History=1;Prepare Notification Content=1;Receive Questionnaire Response=0;Receive Questionnaire Response=1;Register=1;Send Notification by Phone=0;Send Notification by Phone=1;Send Notification by Post=0;Send Notification by Post=1;Send Notification by e-mail=0;Send Notification by e-mail=1;Send Questionnaire=1;Skip Questionnaire=0;Skip Questionnaire=1;_Prediction=-
0;0;0;0.034780671;0;0;0;0.026408441;0;0.034330259;0.031024186;0;0.053221789;0;0;0;-0.032060296;0;0;-0.141334775;0;0.046363587;0;0.004599864;0;-0.014194266;0;0
1;0;-0.033210703;0;0;0;-0.042838632;0;-0.035391523;0;0;-0.030584958;0;-0.056550395;0;0.031276249;0;0;0.155367944;0;-0.050493678;0;0.002454447;0;0;0;0.009204778;0
2;0;0;-0.036052683;0;0;0;-0.036353703;0;-0.035810136;-0.030438159;0;-0.057305679;0;0;-0.03491528;0;0;0;0.143634101;0;-0.050352002;0;-0.003219963;0;0;-0.013743903;1
3;0;0;-0.031294248;0;0;0;-0.03368834;0;-0.038032826;-0.034157819;0;-0.059439108;0;0;-0.032809787;0;0;0;0.153124616;0;-0.048791556;0.010495585;0;0;0;-0.011862988;1
4;0;0;0.040469848;0;0;0;0.038159788;0;0.041182494;0.032273365;0;0.058928964;0;0;0;-0.041100861;0;0.138079094;0;0;0.047932923;0;-0.008554368;0;-0.015163558;0;0
5;0;-0.034834939;0;0;0;-0.032999348;0;-0.037451125;0;0;-0.036809304;0;-0.054474735;0;0.034663517;0;0;0.155952576;0;-0.051281388;0;0.001192184;0;0;0;0.011965527;0
6;0;0;0.031227779;0;0;0;0.034203126;0;0.036424374;0.028752473;0;0.061685179;0;0;0;-0.030566996;0;0;-0.149275463;0;0.050934123;-0.00428706;0;0;-0.017443914;0;0
7;0;0;0.034370276;0;0;0;0.034458904;0;0.036491704;0.032202956;0;0.056354586;0;0;0;-0.033475844;0;0.14789833;0;0;0.044738078;5.06E-05;0;0;-0.015657547;0;0
8;0;0.039027135;0;0;0;0.044691729;0;0.039491351;0;0;0.030668768;0;0.055297813;0;-0.027899949;0;0;0;0.14129888;0.047788723;0;0;-0.009420649;0;0;-0.010504165;1
9;0;0.031143769;0;0;0;0.040624966;0;0.03978564;0;0;0.032308793;0;0.057656785;0;0;0.035019874;0;0;0.14144127;0.048966514;0;0.009404027;0;0;0.010464294;0;1
10;0;0.033727263;0;0;0;0.035650878;0;0.038303058;0;0;0.033634853;0;0.054420945;0;-0.028830568;0;0;0;0.15341328;0.047943339;0;0.00591549;0;0;0;-0.016288576;1
11;0;0;-0.031771659;0;0;0;-0.037453747;0;-0.041785873;-0.03182601;0;-0.059499084;0;0;-0.035464402;0;0;0;0.144911099;0;-0.048332627;0;-0.004966399;0;0;-0.015445546;1
