,Archive,Contact Hospital,Create Questionnaire,Decide claim,High Insurance Check,High Medical History,Low Insurance Check,Low Medical History,Prepare Notification Content,Receive Questionnaire Response,Register,Send Notification by Phone,Send Notification by Post,Send Notification by e-mail,Send Questionnaire,Skip Questionnaire
59,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
15,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
4,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
21,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
5,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
16,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
13,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
49,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
2,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
78,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
3,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
45,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0
84,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
47,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
24,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0
222,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1
31,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1
7,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0
12,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0
18,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1
116,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1
26,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1
6,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0
