,label,Accept Claim,Archive,Contact Hospital,Create Questionnaire,High Insurance Check,High Medical History,Low Insurance Check,Low Medical History,Prepare Notification Content,Receive Questionnaire Response,Register,Reject Claim,Send Notification by Phone,Send Notification by Post,Send Notification by e-mail,Send Questionnaire,Skip Questionnaire
0,False,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0
1,False,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
2,True,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1
3,True,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0
4,True,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1
5,False,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0
6,True,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0
7,True,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0
8,True,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0
9,True,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0
10,True,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0
11,True,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1
12,True,1,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0
13,True,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1
14,True,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1
15,False,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1
16,True,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1
17,False,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
18,False,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1
19,True,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0
20,False,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1
21,False,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
22,False,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0
23,False,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0
24,False,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0
25,True,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1
26,True,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1
27,True,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1
28,False,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1
29,False,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0
30,True,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1
31,False,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1
32,True,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1
