,Register,Create Questionnaire,Send Questionnaire,Skip Questionnaire,Receive Questionnaire Response,High Medical History,High Insurance Check,Contact Hospital,Low Medical History,Low Insurance Check,Decide Claim,Prepare Notification Content,Send Notification by Post,Notify by Post,Send Notification by e-mail,Notify by e-mail,Send Notification by Phone,Notify by Phone,Archive
13,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
11,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
8,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1
9,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
15,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
4,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
7,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
10,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
12,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
3,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
6,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
