,Register,Create Questionnaire,Send Questionnaire,Skip Questionnaire,Receive Questionnaire Response,High Medical History,High Insurance Check,Contact Hospital,Low Medical History,Low Insurance Check,Decide Claim,Prepare Notification Content,Send Notification by Post,Notify by Post,Send Notification by e-mail,Notify by e-mail,Send Notification by Phone,Notify by Phone,Archive
2384,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2538,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2176,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
897,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
214,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2380,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2714,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2576,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
102,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
192,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1447,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
229,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
776,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
1236,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2582,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
17,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1127,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
170,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2247,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1091,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
605,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1457,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2005,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
2895,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2852,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1
2645,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
289,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
486,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
2185,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1421,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1811,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
495,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1094,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1
3114,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1
2069,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
332,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2203,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
1491,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
256,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
900,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
3027,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
538,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1289,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1748,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
2968,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
642,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2314,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
1590,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1359,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
2188,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1
1411,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1
3043,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1
321,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
1135,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1
1803,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1
1559,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
567,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
511,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
251,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
257,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1
